student_id,lms_logins_per_week,avg_assignment_delay_days,attendance_percentage,activity_diversity,night_activity_ratio,behavioural_drift_score,procrastination_index,silent_dropout_indicator,burnout_risk_score,burnout_risk_level,behavioural_triggers,recommended_intervention
1,7,4.05,76,2,0.54,15.515000000000002,2.646,1,75.67750000000001,High,['Silent disengagement behaviour'],Immediate advisor and mental health support
2,20,3.07,54,2,0.95,14.421000000000005,2.222,0,51.6505,Medium,['Stable academic behaviour'],Schedule academic counselor check-in
3,29,4.7,69,1,0.85,8.41,3.16,1,82.405,High,"['Chronic assignment procrastination', 'Silent disengagement behaviour']",Immediate advisor and mental health support
4,15,2.3,60,3,0.91,14.89,1.744,0,42.325,Medium,['Stable academic behaviour'],Schedule academic counselor check-in
5,11,1.09,59,3,0.81,16.327,0.978,0,27.7235,Low,['Stable academic behaviour'],Send productivity nudges and study tips
6,8,6.87,89,5,0.11,13.061,4.166,0,89.85050000000001,High,['Chronic assignment procrastination'],Immediate advisor and mental health support
7,29,5.87,87,5,0.15,4.761,3.582,0,74.0205,High,['Chronic assignment procrastination'],Immediate advisor and mental health support
8,21,6.02,55,1,0.53,14.806,3.824,1,98.883,High,"['Chronic assignment procrastination', 'Silent disengagement behaviour']",Immediate advisor and mental health support
9,7,1.75,57,1,0.25,18.725,1.15,2,62.3625,High,['Silent disengagement behaviour'],Immediate advisor and mental health support
10,26,0.27,72,4,0.48,7.381,0.354,0,10.7705,Low,['Stable academic behaviour'],Send productivity nudges and study tips
11,19,2.12,96,5,0.39,5.836,1.428,0,31.478,Medium,['Stable academic behaviour'],Schedule academic counselor check-in
12,23,3.76,75,2,0.55,9.228000000000002,2.476,0,54.134,Medium,['Stable academic behaviour'],Schedule academic counselor check-in
13,11,2.29,95,3,0.75,9.487,1.674,0,38.2235,Medium,['Stable academic behaviour'],Schedule academic counselor check-in
14,11,5.8,92,1,0.72,11.34,3.768,1,96.03,High,"['Chronic assignment procrastination', 'Silent disengagement behaviour']",Immediate advisor and mental health support
15,24,1.9,61,3,0.52,10.97,1.348,0,32.445,Medium,['Stable academic behaviour'],Schedule academic counselor check-in
16,21,6.76,75,3,0.82,10.828,4.384,0,93.094,High,['Chronic assignment procrastination'],Immediate advisor and mental health support
17,4,3.2,62,4,0.43,19.06,2.092,1,66.37,High,['Silent disengagement behaviour'],Immediate advisor and mental health support
18,8,5.89,89,5,0.9,12.767,3.894,0,84.2635,High,['Chronic assignment procrastination'],Immediate advisor and mental health support
19,24,1.36,67,1,0.07,9.808000000000002,0.8440000000000001,1,36.784000000000006,Medium,['Silent disengagement behaviour'],Schedule academic counselor check-in
20,3,2.88,74,3,0.95,17.064,2.108,1,65.69200000000001,High,['Silent disengagement behaviour'],Immediate advisor and mental health support
21,22,4.9,82,1,0.65,8.67,3.2,1,83.335,High,"['Chronic assignment procrastination', 'Silent disengagement behaviour']",Immediate advisor and mental health support
22,21,0.97,96,2,0.38,4.991,0.734,0,17.1755,Low,['Stable academic behaviour'],Send productivity nudges and study tips
23,2,0.93,89,4,0.2,13.779000000000002,0.6380000000000001,1,34.6495,Medium,['Silent disengagement behaviour'],Schedule academic counselor check-in
24,24,6.79,92,2,0.48,6.337000000000001,4.266,0,88.48849999999999,High,['Chronic assignment procrastination'],Immediate advisor and mental health support
25,12,5.0,61,1,0.19,16.9,3.076,1,84.97,High,"['Chronic assignment procrastination', 'Silent disengagement behaviour']",Immediate advisor and mental health support
26,6,0.29,93,1,0.17,11.487000000000002,0.242,2,40.5835,Medium,['Silent disengagement behaviour'],Schedule academic counselor check-in
27,2,2.79,85,5,0.62,15.037,1.922,1,60.9585,High,['Silent disengagement behaviour'],Immediate advisor and mental health support
28,28,3.03,97,3,0.52,2.5090000000000003,2.026,0,41.7745,Medium,['Stable academic behaviour'],Schedule academic counselor check-in
29,21,5.21,53,3,0.67,14.763,3.394,0,75.2615,High,['Chronic assignment procrastination'],Immediate advisor and mental health support
30,1,1.76,54,2,0.93,21.628000000000004,1.4280000000000002,1,54.374,Medium,"['Significant behavioural routine deviation', 'Silent disengagement behaviour']",Schedule academic counselor check-in
31,12,1.29,86,4,0.53,10.487,0.986,0,24.9635,Low,['Stable academic behaviour'],Send productivity nudges and study tips
32,26,0.57,57,3,0.58,10.571,0.574,0,16.7655,Low,['Stable academic behaviour'],Send productivity nudges and study tips
33,22,3.0,91,5,0.09,5.9,1.836,0,39.67,Medium,['Stable academic behaviour'],Schedule academic counselor check-in
34,29,4.82,98,2,0.72,2.5460000000000003,3.18,0,64.873,High,['Chronic assignment procrastination'],Immediate advisor and mental health support
35,12,0.41,77,2,0.4,12.223000000000004,0.406,0,14.231500000000004,Low,['Stable academic behaviour'],Send productivity nudges and study tips
36,25,6.41,80,5,0.98,7.923,4.238,0,88.7215,High,['Chronic assignment procrastination'],Immediate advisor and mental health support
37,17,3.1,58,4,0.82,14.63,2.188,0,51.075,Medium,['Stable academic behaviour'],Schedule academic counselor check-in
38,27,1.68,78,5,0.52,6.104000000000001,1.216,0,27.372,Low,['Stable academic behaviour'],Send productivity nudges and study tips
39,27,0.66,63,4,0.12,8.898,0.444,0,13.329,Low,['Stable academic behaviour'],Send productivity nudges and study tips
40,10,1.28,89,5,0.86,10.584,1.112,0,27.532000000000004,Low,['Stable academic behaviour'],Send productivity nudges and study tips
